id,authors,title,average_rating
428,Rick Riordan,"The Mark of Athena (The Heroes of Olympus, #3)",4.47
429,Terry Pratchett,"The Color of Magic (Discworld, #1; Rincewind #1)",3.97
430,"Haruki Murakami, Philip Gabriel",Kafka on the Shore,4.13
431,Thomas Harris,"Red Dragon (Hannibal Lecter, #1)",4.01
432,Isaac Asimov,"I, Robot (Robot #0.1)",4.17
433,J.R. Ward,"Dark Lover (Black Dagger Brotherhood, #1)",4.21
434,Becca Fitzpatrick,"Crescendo (Hush, Hush, #2)",4.07
435,Lauren Oliver,Before I Fall,3.92
436,Arundhati Roy,The God of Small Things,3.91
437,Sue Monk Kidd,The Invention of Wings,4.23
438,Liane Moriarty,What Alice Forgot,4.05
439,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time,4.12
440,Ken Follett,"Fall of Giants (The Century Trilogy, #1)",4.26
441,Stephen King,Under the Dome,3.89
442,Neal Stephenson,Snow Crash,4.02
443,Sarah Dessen,Just Listen,4.06
444,"A.A. Milne, Ernest H. Shepard","Winnie-the-Pooh (Winnie-the-Pooh, #1)",4.34
445,S.J. Watson,Before I Go to Sleep,3.87
446,Arthur Conan Doyle,A Study in Scarlet,4.15
447,Christopher Paolini,"Brisingr (The Inheritance Cycle, #3)",4.03
448,Rick Warren,The Purpose Driven Life: What on Earth Am I Here for?,3.9
449,"P.C. Cast, Kristin Cast","Betrayed (House of Night, #2)",3.93
450,Jim Butcher,"Storm Front (The Dresden Files, #1)",4.02
451,"Jane Austen, Alfred MacAdam",Northanger Abbey,3.8
452,Rick Yancey,"The 5th Wave (The 5th Wave, #1)",4.1
453,Charles Frazier,Cold Mountain,3.83
454,"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie,4.24
455,Emily Giffin,"Something Blue (Darcy & Rachel, #2)",3.92
456,Tennessee Williams,A Streetcar Named Desire,3.97
457,Elizabeth Kostova,The Historian,3.77
458,Emily St. John Mandel,Station Eleven,4.02
459,"Fredrik Backman, Henning Koch",A Man Called Ove,4.35
460,Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)",4.59
461,Pearl S. Buck,"The Good Earth (House of Earth, #1)",3.97
462,John Berger,Ways of Seeing,3.75
463,Diana Gabaldon,"Dragonfly in Amber (Outlander, #2)",4.31
464,Anonymous,Holy Bible: King James Version,4.43
465,Jennifer Weiner,In Her Shoes,3.78
466,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit: Graphic Novel,4.48
467,Junot Díaz,The Brief Wondrous Life of Oscar Wao,3.89
468,Zora Neale Hurston,Their Eyes Were Watching God,3.87
469,"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them,3.95
470,"Malala Yousafzai, Christina Lamb",I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,4.06
471,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park,3.84
472,Viktor E. Frankl,Man's Search for Meaning,4.33
473,Tana French,"In the Woods (Dublin Murder Squad, #1)",3.74
474,Richard Dawkins,The God Delusion,3.89
475,Gayle Forman,"Where She Went (If I Stay, #2)",4.06
476,John Irving,The World According to Garp,4.07
477,Lee Child,"Killing Floor (Jack Reacher, #1)",4.04
478,"Daniel Defoe, Gerald McCann, Virginia Woolf",Robinson Crusoe,3.66
479,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",The Prince,3.78
480,Philip Pullman,"The Amber Spyglass (His Dark Materials, #3)",4.06
481,Terry Goodkind,"Wizard's First Rule (Sword of Truth, #1)",4.13
482,Kathleen Grissom,The Kitchen House,4.18
483,J.D. Salinger,Franny and Zooey,3.98
484,Chuck Palahniuk,Choke,3.69
485,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",The Brothers Karamazov,4.3
486,Jeanne DuPrau,"The City of Ember (Book of Ember, #1)",3.85
487,Michael Crichton,The Andromeda Strain,3.87
488,Stephen King,The Green Mile,4.42
489,Kahlil Gibran,The Prophet,4.22
490,Art Spiegelman,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",4.35
491,"P.C. Cast, Kristin Cast","Untamed (House of Night, #4)",3.95
492,Orson Scott Card,"Speaker for the Dead (Ender's Saga, #2)",4.04
493,C.S. Lewis,Mere Christianity,4.31
494,Donna Tartt,The Secret History,4.07
495,Dave Eggers,A Heartbreaking Work of Staggering Genius,3.68
496,Jean M. Auel,"The Clan of the Cave Bear (Earth's Children, #1)",4.02
497,Anna Sewell,Black Beauty,3.94
498,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",War and Peace,4.11
499,Bret Easton Ellis,American Psycho,3.81
500,Meg Cabot,"The Princess Diaries (The Princess Diaries, #1)",3.76
501,Alexander McCall Smith,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",3.75
502,"Robert Kirkman, Tony Moore","The Walking Dead, Vol. 01: Days Gone Bye",4.3
503,Arthur C. Clarke,"2001: A Space Odyssey (Space Odyssey, #1)",4.12
504,Francine Rivers,Redeeming Love,4.48
505,"Tim LaHaye, Jerry B. Jenkins","Left Behind (Left Behind, #1)",3.81
506,Kiera Cass,"The One (The Selection, #3)",4.21
507,Suzanne Collins,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",4.49
508,Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America,3.6
509,Sophie Kinsella,Remember Me?,3.76
510,Robert Jordan,"The Great Hunt (Wheel of Time, #2)",4.2
511,Patricia Cornwell,"Postmortem (Kay Scarpetta, #1)",4.01
512,Edgar Allan Poe,The Complete Stories and Poems,4.37
513,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.42
514,Arthur Conan Doyle,The Adventures of Sherlock Holmes,4.29
515,Pat Conroy,The Prince of Tides,4.22
516,Michael Chabon,The Amazing Adventures of Kavalier & Clay,4.17
517,Simone Elkeles,"Perfect Chemistry (Perfect Chemistry, #1)",4.07
518,"J.M. Barrie, Michael Hague",Peter Pan,4.1
519,Scott Westerfeld,"Pretties (Uglies, #2)",3.85
520,"Haruki Murakami, Jay Rubin",The Wind-Up Bird Chronicle,4.17
521,Michael Connelly,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",4.14
522,David Mitchell,Cloud Atlas,4.01
523,Tim O'Brien,The Things They Carried,4.12
524,Banksy,Wall and Piece,3.83
525,Lauren Oliver,"Pandemonium (Delirium, #2)",4.07
526,Jeff Lindsay,"Darkly Dreaming Dexter (Dexter, #1)",3.89
527,Charlaine Harris,"Living Dead in Dallas (Sookie Stackhouse, #2)",3.97
528,Robert Jordan,"The Dragon Reborn (Wheel of Time, #3)",4.23
529,"Jonathan Swift, Robert DeMaria Jr.",Gulliver's Travels,3.55
530,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",Much Ado About Nothing,4.06
531,"Unknown, Seamus Heaney",Beowulf,3.42
532,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Batman: Year One,4.23
533,Harper Lee,Go Set a Watchman,3.31
534,David Sedaris,When You Are Engulfed in Flames,4.04
535,Laini Taylor,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",4.04
536,Victoria Aveyard,"Red Queen (Red Queen, #1)",4.08
537,Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business,4.03
538,John Berendt,Midnight in the Garden of Good and Evil,3.9
539,Colleen Hoover,"Hopeless (Hopeless, #1)",4.34
540,"Frances Hodgson Burnett, Nancy Bond",A Little Princess,4.2
541,Sarah Dessen,The Truth About Forever,4.13
542,C.S. Lewis,"The Horse and His Boy (Chronicles of Narnia, #5)",3.9
543,Richelle Mead,"Last Sacrifice (Vampire Academy, #6)",4.42
544,"Laura Ingalls Wilder, Garth Williams","Little House on the Prairie (Little House, #2)",4.18
545,"Margery Williams Bianco, William   Nicholson",The Velveteen Rabbit,4.29
546,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3.76
547,"H.G. Wells, Arthur C. Clarke",The War of the Worlds,3.8
548,Sara Shepard,"Pretty Little Liars (Pretty Little Liars, #1)",3.9
549,Don Freeman,Corduroy,4.28
550,Michael Pollan,The Omnivore's Dilemma: A Natural History of Four Meals,4.17
551,Kate Atkinson,Life After Life,3.74
552,Nicholas Sparks,The Rescue,4.1
553,Stephen King,Needful Things,3.87
554,Diana Gabaldon,"Voyager (Outlander, #3)",4.38
555,"Kenneth Branagh, William Shakespeare","Hamlet: Screenplay, Introduction And Film Diary",4.12
556,Stephen King,Cujo,3.65
557,Jeffrey Eugenides,The Virgin Suicides,3.83
558,Charlaine Harris,"Dead to the World (Sookie Stackhouse, #4)",4.13
559,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Tess of the D'Urbervilles,3.77
560,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Madame Bovary,3.64
561,"Norton Juster, Jules Feiffer",The Phantom Tollbooth,4.22
562,Brandon Sanderson,"The Way of Kings (The Stormlight Archive, #1)",4.64
563,Charlaine Harris,"Club Dead (Sookie Stackhouse, #3)",4.03
564,Ned Vizzini,It's Kind of a Funny Story,4.14
565,Brandon Sanderson,"The Well of Ascension (Mistborn, #2)",4.35
566,Jojo Moyes,"After You (Me Before You, #2)",3.7
567,Vanessa Diffenbaugh,The Language of Flowers,4.07
568,"Frank Miller, Klaus Janson, Lynn Varley","Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",4.25
569,James Patterson,"The Angel Experiment (Maximum Ride, #1)",4.08
570,Nick Hornby,High Fidelity,3.94
571,Nicholas Sparks,The Guardian,4.14
572,Margaret Atwood,"Oryx and Crake (MaddAddam, #1)",4
573,John Gray,"Men Are from Mars, Women Are from Venus",3.52
574,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly,4
575,Michael Crichton,Timeline,3.83
576,Voltaire,Candide,3.76
577,Natalie Babbitt,Tuck Everlasting,3.85
578,"Stephen King, Marie Milpois",Christine,3.72
579,P.D. Eastman,Are You My Mother?,4.16
580,E.H. Gombrich,The Story of Art,3.83
581,Marissa Meyer,"Scarlet (The Lunar Chronicles, #2)",4.3
582,Robert T. Kiyosaki,"Rich Dad, Poor Dad",3.95
583,Becca Fitzpatrick,"Silence (Hush, Hush, #3)",4.16
584,Lev Grossman,The Magicians (The Magicians #1),3.47
585,"Tsugumi Ohba, Takeshi Obata","Death Note, Vol. 1: Boredom (Death Note, #1)",4.42
586,Libba Bray,"A Great and Terrible Beauty (Gemma Doyle, #1)",3.79
587,Jonathan Safran Foer,Everything Is Illuminated,3.9
588,Robert Ludlum,"The Bourne Supremacy (Jason Bourne, #2)",4.09
589,Tammara Webber,"Easy (Contours of the Heart, #1)",4.11
590,"Charles Dickens, Jeremy Tambling",David Copperfield,3.96
591,"Sherman Alexie, Ellen Forney",The Absolutely True Diary of a Part-Time Indian,4.11
592,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",The Master and Margarita,4.32
593,Ursula K. Le Guin,"A Wizard of Earthsea (Earthsea Cycle, #1)",3.99
594,"Kate DiCamillo, Chris Sheban",Because of Winn-Dixie,4
595,John Knowles,A Separate Peace,3.56
596,John Grisham,The Rainmaker,3.91
597,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",Don Quixote,3.85
598,Robin Hobb,"Assassin's Apprentice (Farseer Trilogy, #1)",4.14
599,Douglas Adams,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",4.22
600,Lauren Kate,"Torment (Fallen, #2)",3.89
601,Beatrix Potter,The Tale of Peter Rabbit,4.17
602,"C.S. Lewis, Pauline Baynes","The Silver Chair (Chronicles of Narnia, #4)",3.95
603,Brandon Sanderson,"The Hero of Ages (Mistborn, #3)",4.46
604,Susanna Kaysen,"Girl, Interrupted",3.9
605,Chelsea Handler,"Are You There, Vodka? It's Me, Chelsea",3.85
606,"Richard Bach, Russell Munson",Jonathan Livingston Seagull,3.8
607,Cassandra Clare,"City of Heavenly Fire (The Mortal Instruments, #6)",4.48
608,"Robert Munsch, Sheila McGraw",Love You Forever,4.34
609,Stephen King,Cell,3.64
610,Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32
611,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",The Silmarillion (Middle-Earth Universe),3.87
612,Stephen King,"The Drawing of the Three (The Dark Tower, #2)",4.23
613,Kate Morton,The Forgotten Garden,4.12
614,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",The Trial,3.98
615,Sarah Dessen,This Lullaby,4.03
616,Jodi Picoult,Plain Truth,3.97
617,Piper Kerman,Orange Is the New Black,3.7
618,"Arthur Conan Doyle, Anne Perry",The Hound of the Baskervilles,4.09
619,Daniel Kahneman,"Thinking, Fast and Slow",4.08
620,Marion Zimmer Bradley,"The Mists of Avalon (Avalon, #1)",4.12
621,Judy Blume,"Are You There God? It's Me, Margaret",3.89
622,Nicholas Sparks,Nights in Rodanthe,3.82
623,Stephen King,"Mr. Mercedes (Bill Hodges Trilogy, #1)",3.92
624,Charlaine Harris,"All Together Dead (Sookie Stackhouse, #7)",4.05
625,Chris Bohjalian,Midwives,3.97
626,Chris Van Allsburg,The Polar Express,4.29
627,"Jon Scieszka, Lane Smith",The True Story of the 3 Little Pigs,4.29
628,Tom Clancy,"Patriot Games (Jack Ryan Universe, #2)",4.11
629,"Paulo Coelho, Margaret Jull Costa",Veronika Decides to Die,3.69
630,"Sheryl Sandberg, Nell Scovell","Lean In: Women, Work, and the Will to Lead",3.94
631,Charlaine Harris,"Dead as a Doornail (Sookie Stackhouse, #5)",4.01
632,Tahereh Mafi,"Shatter Me (Shatter Me, #1)",4.01
633,Robert A. Heinlein,Starship Troopers,3.99
634,Sophie Kinsella,I've Got Your Number,3.93
635,"Jostein Gaarder, Paulette Møller",Sophie's World,3.88
636,Mark Cotta Vaz,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",4.3
637,Ray Bradbury,The Martian Chronicles,4.12
638,Jennifer Egan,A Visit from the Goon Squad,3.64
639,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Heidi,3.97
640,Michael Crichton,Prey,3.72
641,C.S. Lewis,"The Last Battle (Chronicles of Narnia, #7)",4.02
642,Ken Follett,"World Without End (The Kingsbridge Series, #2)",4.23
643,"P.C. Cast, Kristin Cast","Chosen (House of Night, #3)",3.9
644,Colleen Hoover,"Slammed (Slammed, #1)",4.29
645,Alex Flinn,"Beastly (Beastly, #1; Kendra Chronicles, #1)",3.84
646,"Geoffrey Chaucer, Nevill Coghill",The Canterbury Tales,3.48
647,Emily Giffin,Baby Proof,3.71
648,Christopher Paolini,"Inheritance (The Inheritance Cycle, #4)",4.08
649,"Haruki Murakami, Jay Rubin, Philip Gabriel",1Q84,3.89
650,Harriet Beecher Stowe,Uncle Tom's Cabin,3.83
651,"Gaston Leroux, Alexander Teixeira de Mattos",The Phantom of the Opera,3.97
652,Charlaine Harris,"Definitely Dead (Sookie Stackhouse, #6)",4.02
653,"José Saramago, Giovanni Pontiero",Blindness,4.08
654,Jonathan Franzen,Freedom,3.73
655,Ally Condie,"Crossed (Matched, #2)",3.52
656,Ally Carter,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",3.82
657,Aravind Adiga,The White Tiger,3.71
658,Jonathan Franzen,The Corrections,3.78
659,Barack Obama,Dreams from My Father: A Story of Race and Inheritance,3.81
660,Michael Crichton,Congo,3.55
661,"Judith Viorst, Ray Cruz","Alexander and the Terrible, Horrible, No Good, Very Bad Day",4.22
662,Jhumpa Lahiri,Interpreter of Maladies,4.12
663,Howard Zinn,A People's History of the United States,4.07
664,Truman Capote,Breakfast at Tiffany's,3.89
665,Justin Cronin,"The Passage (The Passage, #1)",4.04
666,Neil Gaiman,Anansi Boys,4
667,Sarah Dessen,Along for the Ride,4.08
668,Celeste Ng,Everything I Never Told You,3.78
669,"Isabel Allende, Magda Bogin",The House of the Spirits,4.2
670,Stephen King,The Dead Zone,3.9
671,"Agatha Christie, Ροζίτα Σώκου","The Mysterious Affair at Styles (Hercule Poirot, #1)",3.98
672,Agatha Christie,"Murder on the Orient Express (Hercule Poirot, #10)",4.16
673,Chimamanda Ngozi Adichie,Americanah,4.26
674,James Patterson,Suzanne's Diary for Nicholas,4.16
675,Stephen King,Firestarter,3.85
676,Sylvia Day,"Entwined with You (Crossfire, #3)",4.19
677,Christopher McDougall,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.27
678,Gabrielle Zevin,The Storied Life of A.J. Fikry,3.98
679,Ludwig Bemelmans,Madeline,4.22
680,Napoleon Hill,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,4.17
681,"Laura Ingalls Wilder, Garth Williams","Little House in the Big Woods (Little House, #1)",4.16
682,Susanna Clarke,Jonathan Strange & Mr Norrell,3.8
683,Nicholas Sparks,A Bend in the Road,4.02
684,Rick Riordan,"The House of Hades (The Heroes of Olympus, #4)",4.54
685,Michael  Grant,"Gone (Gone, #1)",3.85
686,Nicholas Sparks,"The Wedding (The Notebook, #2)",3.98
687,David McCullough,1776,4.06
688,Jon Krakauer,Under the Banner of Heaven: A Story of Violent Faith,3.98
689,Jess Walter,Beautiful Ruins,3.67
690,Barack Obama,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.69
691,Stephen King,On Writing: A Memoir of the Craft,4.31
692,Kristin Hannah,"Firefly Lane (Firefly Lane, #1)",4.04
693,Michael Crichton,Sphere,3.77
694,Emily Giffin,Love the One You're With,3.7
695,"Robert Galbraith, J.K. Rowling","The Silkworm (Cormoran Strike, #2)",4.03
696,Anne Rice,"The Vampire Lestat (The Vampire Chronicles, #2)",4.05
697,Ann Patchett,State of Wonder,3.85
698,Matthew Quick,The Silver Linings Playbook,4
699,"Jules Verne, Anthony Bonner",Twenty Thousand Leagues Under the Sea,3.86
700,Philippa Gregory,"The Constant Princess (The Plantagenet and Tudor Novels, #6)",3.88
701,"Virginia Woolf, Maureen Howard",Mrs. Dalloway,3.78
702,"Jonas Jonasson, Rod Bradbury",The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,3.81
703,Stephen King,Bag of Bones,3.87
704,John Irving,The Cider House Rules,4.1
705,"Richard Bachman, Stephen King",Thinner,3.66
706,"Jules Verne, Michael Glencross, Brian W. Aldiss",Around the World in Eighty Days,3.9
707,Sharon Creech,Walk Two Moons,3.95
708,"Paulo Coelho, Margaret Jull Costa",Eleven Minutes,3.69
709,J.D. Salinger,Nine Stories,4.19
710,Julie Powell,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living",3.67
711,Neal Shusterman,"Unwind (Unwind, #1)",4.18
712,Diana Gabaldon,"Drums of Autumn (Outlander, #4)",4.34
713,Marie Lu,"Prodigy (Legend, #2)",4.29
714,William Shakespeare,King Lear,3.89
715,Arthur Miller,Death of a Salesman,3.49
716,Nicholas Sparks,The Choice,3.99
717,Kate Egan,The Hunger Games: Official Illustrated Movie Companion,4.51
718,William Faulkner,The Sound and the Fury,3.86
719,Eckhart Tolle,A New Earth: Awakening to Your Life's Purpose,4.02
720,Tite Kubo,"Bleach, Volume 01",4.21
721,Allie Brosh,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",4.17
722,Robert Jordan,"The Shadow Rising (Wheel of Time, #4)",4.21
723,Gregory David Roberts,Shantaram,4.26
724,Charlaine Harris,"From Dead to Worse (Sookie Stackhouse, #8)",4.01
725,"Stephen King, Ned Dameron","The Waste Lands (The Dark Tower, #3)",4.24
726,Jeffery Deaver,"The Bone Collector (Lincoln Rhyme, #1)",4.18
727,"Bernhard Schlink, Carol Brown Janeway",The Reader,3.73
728,"Bill Martin Jr., Eric Carle","Brown Bear, Brown Bear, What Do You See?",4.19
729,Dan Simmons,"Hyperion (Hyperion Cantos, #1)",4.21
730,John Steinbeck,The Pearl,3.41
731,William Peter Blatty,The Exorcist,4.14
732,Stephenie Meyer,"The Short Second Life of Bree Tanner: An Eclipse Novella (Twilight, #3.5)",3.51
733,David Guterson,Snow Falling on Cedars,3.8
734,Alex Haley,Roots: The Saga of an American Family,4.42
735,"Alan Moore, Brian Bolland, Tim Sale",Batman: The Killing Joke,4.36
736,Ralph Ellison,Invisible Man,3.84
737,Ishmael Beah,A Long Way Gone: Memoirs of a Boy Soldier,4.14
738,Robert C. O'Brien,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",4.13
739,Stephen King,Different Seasons,4.34
740,"Laura Ingalls Wilder, Garth Williams","The Little House Collection (Little House, #1-9)",4.33
741,Melissa Bank,The Girls' Guide to Hunting and Fishing,3.29
742,Hugh Howey,"Wool Omnibus (Silo, #1)",4.24
743,Christopher Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26
744,Eckhart Tolle,The Power of Now: A Guide to Spiritual Enlightenment,4.1
